Product Name,Brand,Brand Tier,Price,Profit Margin,Composite Score,Sales Velocity Score,Profit Margin Score,Inventory Health Score,Brand Tier Score,Engagement Score
Calm Propolis Essence,Benton,A,73.65,50.97080787508487,93.54807476635514,95.87449933244326,100.0,93.33333333333331,100,59.92
Hydra Ginseng Serum,Sulwhasoo,A,66.15,54.4066515495087,92.992,99.0,100.0,100.0,100,33.42
Radiant Collagen Lotion,Missha,A,53.63,56.59146000372925,91.596,100.0,100.0,100.0,100,15.96
Soothing Mugwort Emulsion,Benton,A,12.41,45.04431909750201,90.97579629196603,93.4446764091858,90.08863819500402,100.0,100,57.48
Soothing Niacinamide Emulsion,Dr. Jart+,A,56.38,58.88612983327421,90.77,97.2,100.0,100.0,100,17.5
Calm Ginseng Cleanser,Tony Moly,B,15.22,58.8042049934297,90.736,100.0,100.0,100.0,75,44.86
Radiant Green Tea Serum,Innisfree,A,59.57,57.69682726204466,90.67961862130709,82.79319606087735,100.0,100.0,100,67.02
Calm Green Tea Serum,Missha,A,35.65,56.690042075736336,89.902,100.0,100.0,86.66666666666667,100,19.02
Hydra Mugwort Mask,Etude House,A,79.08,42.27364693980779,89.7108234699039,100.0,84.54729387961558,100.0,100,35.74
Glow Green Tea Ampoule,Neogen,A,18.11,55.88072887907233,89.63999999999999,90.6,100.0,100.0,100,29.3
Youth Hyaluronic Acid Lotion,Sulwhasoo,A,32.76,40.2014652014652,88.10949816568265,93.72790161414298,80.4029304029304,100.0,100,52.04
Calm Propolis Serum,IOPE,B,74.53,52.74386153226889,87.65697227356746,85.4713493530499,100.0,100.0,75,64.92
Hydra Propolis Essence,Skinfood,A,28.11,51.440768409818574,87.10500583430573,91.52858809801634,100.0,43.333333333333336,100,85.7
Youth Centella Cleanser,Neogen,B,46.73,54.397603252728445,87.04288923752745,84.05396925007844,100.0,100.0,75,63.74
Soothing Centella Serum,Dr. Jart+,C,52.53,47.477631829430806,86.9148159147154,100.0,94.9552636588616,100.0,50,56.76
Glow Ginseng Mist,Laneige,B,31.77,52.25055083412025,86.22381165919282,74.43946188340806,100.0,100.0,75,89.2
Glow Centella Serum,Neogen,C,41.92,53.17270992366413,86.074,100.0,100.0,100.0,50,35.74
Glow Niacinamide Mask,Missha,A,51.91,44.75052976305143,85.91151266913634,68.69785082174462,89.50105952610286,100.0,100,94.92
Hydra Niacinamide Emulsion,Skinfood,B,68.01,40.99397147478312,85.45498573739155,100.0,81.98794294956625,90.0,75,52.080000000000005
Bright Centella Essence,Innisfree,B,48.27,58.462813341620055,85.284,100.0,100.0,86.66666666666667,75,10.34
